timestamp,index,out_name,out_path,status,returncode,note
2026-01-14 17:24:03,1161,shaft_001161.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001161.SLDPRT,OK,0,
2026-01-14 17:24:05,1162,shaft_001162.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001162.SLDPRT,OK,0,
2026-01-14 17:24:07,1163,shaft_001163.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001163.SLDPRT,OK,0,
2026-01-14 17:24:09,1164,shaft_001164.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001164.SLDPRT,OK,0,
2026-01-14 17:24:11,1165,shaft_001165.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001165.SLDPRT,OK,0,
2026-01-14 17:24:13,1166,shaft_001166.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001166.SLDPRT,OK,0,
2026-01-14 17:24:16,1167,shaft_001167.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001167.SLDPRT,OK,0,
2026-01-14 17:24:18,1168,shaft_001168.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001168.SLDPRT,OK,0,
2026-01-14 17:24:20,1169,shaft_001169.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001169.SLDPRT,OK,0,
2026-01-14 17:24:22,1170,shaft_001170.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001170.SLDPRT,OK,0,
2026-01-14 17:24:24,1171,shaft_001171.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001171.SLDPRT,OK,0,
2026-01-14 17:24:26,1172,shaft_001172.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001172.SLDPRT,OK,0,
2026-01-14 17:24:28,1173,shaft_001173.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001173.SLDPRT,OK,0,
2026-01-14 17:24:31,1174,shaft_001174.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001174.SLDPRT,OK,0,
2026-01-14 17:24:33,1175,shaft_001175.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001175.SLDPRT,OK,0,
2026-01-14 17:24:35,1176,shaft_001176.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001176.SLDPRT,OK,0,
2026-01-14 17:24:37,1177,shaft_001177.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001177.SLDPRT,OK,0,
2026-01-14 17:24:39,1178,shaft_001178.SLDPRT,D:\Proiect-RN-Generare-piese-CAD-main\data\train\parts\shaft\shaft_001178.SLDPRT,OK,0,
